epoch;cosine_proximity;loss;mean_absolute_error;mean_absolute_percentage_error;mean_squared_error;val_cosine_proximity;val_loss;val_mean_absolute_error;val_mean_absolute_percentage_error;val_mean_squared_error
0;-0.5712993556786822;0.6128496417803133;0.8006881451136924;119103887.46449797;1.492780894484787;-0.6178238387261848;3.5543143721084727;0.8036244917063181;118695302.2777604;1.4610312689197111
1;-0.5520983213346058;0.2170571288536235;0.8022961179200339;118978205.150061;1.5096429462864247;-0.5793241486116465;4.16123944125699;0.7981701594919274;119389311.17860495;1.4676205559767967
2;-0.5451348134193862;0.13865191568100513;0.801368470439174;118967040.62583672;1.5104800020880278;-0.5744910737779836;4.776223206467877;0.8034485454741291;119056969.01282452;1.4890065231909035
3;-0.5400016163233563;0.09998896697885688;0.8015140613944395;119173719.42715926;1.5143976333229558;-0.702235665905278;3.6995533562318066;0.8005747575712532;118949446.74382234;1.4109703006411032
4;-0.5385923592856723;0.08545711878704622;0.8010400375743415;118967040.67238036;1.513120429002012;-0.7850828318470943;3.4781590135572102;0.8021509580934798;119094683.67305437;1.3888037964940585
5;-0.5369371842050715;0.0666368268981883;0.8021788093990554;118989936.52153784;1.518181215945954;-0.7469500866175295;3.652533376835867;0.800711604634001;119056969.74038161;1.395737634390863
6;-0.5357323207844411;0.06106700006577317;0.8025414450991926;118881022.64998436;1.5198834515751471;-0.830938550296671;2.9084382052715396;0.8018650297106972;119144942.42727557;1.3764008344114667
7;-0.533602795228686;0.05461415432591486;0.8004973879266427;119236283.94857197;1.5149633303906012;-0.7929528324602916;3.1179864985293286;0.8014935877688012;118978771.87613387;1.3839022781248946
8;-0.5333479028914099;0.04547452366189005;0.801915858584827;119029599.43522052;1.5195172914078656;-0.8114916168043753;3.2005476077571675;0.8010048481973961;119066744.42602439;1.3774248205864097
9;-0.532543452063228;0.04263908083594158;0.8015766259224909;118978205.47990115;1.5186770965662792;-0.7700759670069593;3.5476824631763706;0.802483378997015;118869810.88087602;1.3937748387030526
